content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
"Today, we honor Addie Mae, Cynthia, Carole, Denise, and recommit to defeating the poisonous ideology of white supremacy that lit the fuse at the 16th Street Baptist Church. https://t.co/6Rjs5ZcBTl",Sun Sep 15 17:01:00 +0000 2019,2019-09-15 17:01:00+00:00,1309,"[Photo(previewUrl='https://pbs.twimg.com/media/EEhTqc-XUAAGUn_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EEhTqc-XUAAGUn_?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/EEhTr1_XsAI6b-g?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EEhTr1_XsAI6b-g?format=jpg&name=large', type='photo'), Photo(previewUrl='https://pbs.twimg.com/media/EEhTr18XUAIJDuw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EEhTr18XUAIJDuw?format=jpg&name=large', type='photo')]",[],13,,88,293,,https://twitter.com/JoeBiden/status/1173280566646431744,1173280566646431744,1173280566646431744
"I’m speaking in Birmingham, Alabama, at the 16th St. Baptist Church memorial service. Join me in honoring those we lost: https://t.co/dsf88Ot9Ka",Sun Sep 15 14:57:54 +0000 2019,2019-09-15 14:57:54+00:00,1396,,['https://twitter.com/i/broadcasts/1OyJAeaWNqNJb'],28,,179,307,,https://twitter.com/JoeBiden/status/1173249588465213440,1173249588465213440,1173249588465213440
"At 11:00 AM ET, I’ll be speaking at the 16th Street Baptist Church memorial service to commemorate the lives we lost 56 years ago. Join me in honoring Addie Mae, Cynthia, Carole, and Denise: https://t.co/miqSzTbr7d",Sun Sep 15 14:40:00 +0000 2019,2019-09-15 14:40:00+00:00,882,,['https://joebiden.com/live/'],13,,79,163,,https://twitter.com/JoeBiden/status/1173245082641690624,1173245082641690624,1173245082641690624
"Gun violence tragedies are not inevitable. Together, we can end this epidemic.",Sat Sep 14 23:48:00 +0000 2019,2019-09-14 23:48:00+00:00,2825,,[],35,,251,478,,https://twitter.com/JoeBiden/status/1173020604028661760,1173020604028661760,1173020604028661760
So great to visit the Ernest S. Sterling Student Life Center at Texas Southern University. Thanks for letting me join you for lunch. Go Tigers! https://t.co/1Rb7dCYEvs,Sat Sep 14 22:22:48 +0000 2019,2019-09-14 22:22:48+00:00,612,"[Photo(previewUrl='https://pbs.twimg.com/media/EEdUWdDXkAADTMy?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EEdUWdDXkAADTMy?format=jpg&name=large', type='photo')]",[],11,,69,130,,https://twitter.com/JoeBiden/status/1172999163098882048,1172999163098882048,1172999163098882048
"Tomorrow, I’ll be in Birmingham, Alabama, to remember the lives we lost 56 years ago in the 16th Street Baptist Church bombing. Join me in honoring Addie Mae, Cynthia, Carole, and Denise at 11:00 AM ET. https://t.co/0Lj0tKQXhI",Sat Sep 14 21:28:57 +0000 2019,2019-09-14 21:28:57+00:00,862,,['http://joebiden.com/live'],12,,96,196,,https://twitter.com/JoeBiden/status/1172985612112150529,1172985612112150529,1172985612112150529
Obamacare fue un gran avance: proporcionó protecciones a más de 100 millones de estadounidenses con afecciones preexistentes. No podemos parar allí. Como presidente protegeré y expandiré Obamacare para garantizar que todos tengamos acceso a atención médica asequible y de calidad.,Sat Sep 14 21:19:00 +0000 2019,2019-09-14 21:19:00+00:00,371,,[],15,,94,105,,https://twitter.com/JoeBiden/status/1172983106682400768,1172983106682400768,1172983106682400768
"Obamacare was a huge step forward—providing protections to over 100 million Americans with pre-existing conditions. We can’t stop there. As president, I’ll protect &amp; build on Obamacare to ensure every American has the peace of mind that comes with quality, affordable health care.",Sat Sep 14 21:17:00 +0000 2019,2019-09-14 21:17:00+00:00,1658,,[],23,,206,401,,https://twitter.com/JoeBiden/status/1172982603109978113,1172982603109978113,1172982603109978113
"My North Star as president will be rebuilding the backbone of this country — the middle class. And this time, we'll make sure everyone comes along.",Sat Sep 14 20:01:00 +0000 2019,2019-09-14 20:01:00+00:00,3475,,[],108,,402,556,,https://twitter.com/JoeBiden/status/1172963477524307968,1172963477524307968,1172963477524307968
"Debemos hacer todo lo que esté a nuestro alcance para abordar la emergencia climática. Como presidente, trabajaré para convertirnos en una economía de energía limpia con emisiones netas cero para el 2050. Volveremos a liderar el mundo en la lucha contra el cambio climático.",Sat Sep 14 18:53:00 +0000 2019,2019-09-14 18:53:00+00:00,404,,[],27,,165,90,,https://twitter.com/JoeBiden/status/1172946364625543174,1172946364625543174,1172946364625543174
